datetimes,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,tcp_force_scalar,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,robot_mode,safety_mode,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5
090320-16:51:33.020,-1.47159845034,-1.8016735516,-1.80270290375,-1.14102967203,1.56383371353,-1.49906808535,0.0419526994228,0.548972845078,-0.703161418438,0.152980923653,0.000922398699913,0.0507106781006,0.797642230988,4.06283473969,0.679681897163,0.729561150074,0.124638825655,0.243711575866,-0.403549671858,-0.0497236798558,0.769641390691,0.0364003249145,-0.00856841449503,0.311866217666,0.870443939757,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8095779419,1.44909751415,47.5705947876,47.7855911255,47.6852607727,47.5705947876,47.5849304199,47.5705947876
090320-16:51:33.027,-1.47123891512,-1.7973066769,-1.80819225311,-1.13962443293,1.56384515762,-1.49865800539,0.0422643236816,0.549227356911,-0.700270235538,0.17579574883,0.000453397864476,0.0541615709662,0.85226804018,4.00358057022,0.605433166027,0.313007414341,0.14361768961,0.136475786567,-0.492873313281,-1.1369444736,1.3535288663,-0.0304835553421,-0.0153588871106,0.317007536859,1.83510414715,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.814956665,1.42224097252,47.5849304199,47.699596405,47.7139282227,47.55626297,47.5849304199,47.55626297
090320-16:51:33.036,-1.47090417544,-1.79288544277,-1.81383991241,-1.1383946699,1.56384563446,-1.49820262591,0.0422577001154,0.551718473434,-0.698642373085,0.138798713684,0.000626249646302,0.0539479479194,0.927827298641,3.97874069214,0.527096807957,0.557271778584,0.147851377726,0.0374839603901,-0.604131087788,-1.70334730716,1.20745684911,-0.0591167337959,0.00861714032207,0.314045626427,2.17354973776,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8301773071,1.43790769577,47.5992660522,47.6709289551,47.7282600403,47.6135978699,47.5419311523,47.5419311523
090320-16:51:33.044,-1.47053224245,-1.78847851376,-1.81947612762,-1.13737185419,1.56387042999,-1.49781018892,0.0438801124692,0.551894426346,-0.69657510519,0.13642051816,0.00206810794771,0.0478358231485,0.835555672646,3.9311466217,0.64923286438,0.675642549992,0.124868825078,0.0327012762427,-0.915815248556,0.52066005639,0.703443956394,0.028745626623,0.00139854673514,0.309677175103,1.26674301403,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8239135742,1.44685637951,47.5849304199,47.699596405,47.6852607727,47.5705947876,47.5275993347,47.55626297
090320-16:51:33.052,-1.47019654909,-1.78408112148,-1.82509899139,-1.13623745859,1.56390619278,-1.4974287192,0.0441883690655,0.549442708492,-0.697605729103,0.147862046957,0.00175234803464,0.0431505851448,0.862099409103,4.04455947876,0.79044008255,0.487147927284,0.146988213062,0.0750814750791,0.0113620775075,1.15868722169,0.12585320182,0.0564350658384,-0.0337628320537,0.30660728029,1.16555746444,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8212242126,1.34838950634,47.5705947876,47.6422653198,47.6709289551,47.5849304199,47.5419311523,47.6135978699
090320-16:51:33.060,-1.46981221834,-1.77968134503,-1.83068752289,-1.13510735453,1.56388235092,-1.49710637728,0.0465108528733,0.548534750938,-0.696677207947,0.127071142197,0.0022448298987,0.0398486256599,0.68525159359,4.20796775818,0.967640399933,0.725200235844,0.145132184029,0.154662624002,-0.337120265121,0.144802130819,0.174235619998,0.0136648481984,-0.00442158460408,0.310206159289,0.406172108251,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8373451233,1.43566656113,47.5849304199,47.6565971375,47.6709289551,47.5705947876,47.5275993347,47.5275993347
090320-16:51:33.068,-1.46943933169,-1.77534880261,-1.8361158371,-1.13407977045,1.56391811371,-1.49678308169,0.0481713786721,0.547199487686,-0.690547049046,0.135518178344,0.00209533795714,0.0393263995647,0.658776640892,4.35335206985,0.830754160881,0.672671079636,0.137369424105,0.219919323921,-0.451355462495,-0.539303299997,0.480078411439,-0.0181360051885,-0.0163478868533,0.316009912235,0.851495792146,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8095779419,1.38867163658,47.5275993347,47.699596405,47.6852607727,47.5275993347,47.5275993347,47.55626297
090320-16:51:33.076,-1.46901971499,-1.7709561787,-1.84164714813,-1.13288338602,1.56388235092,-1.49648219744,0.0500544086099,0.548831880093,-0.690662503242,0.149892792106,0.00249996478669,0.0408583059907,0.558416604996,4.37854480743,0.869485378265,0.373224526644,0.0943912863731,0.274111390114,-0.145044567392,-0.661642454722,0.70169234659,0.00847062335334,-0.0358053781002,0.313313288038,0.975284991007,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8230133057,1.42000508308,47.5705947876,47.7139282227,47.6709289551,47.55626297,47.5275993347,47.5705947876
090320-16:51:33.084,-1.46860105196,-1.76658072094,-1.84725284576,-1.1317923826,1.56394147873,-1.49612123171,0.0494417250156,0.555038690567,-0.689767897129,0.123272076249,0.00111399055459,0.0432708188891,0.595906257629,4.1159954071,0.948826730251,0.550570189953,0.117407441139,0.318379789591,-0.318513716298,-1.03619462832,0.684061530253,-0.0207271550991,0.000507410655621,0.308886429664,1.28183090632,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8283882141,1.40209722519,47.5132637024,47.7282600403,47.6852607727,47.6279296875,47.5849304199,47.5419311523
090320-16:51:33.091,-1.46822911898,-1.76212658505,-1.8528547287,-1.13090594233,1.56390571594,-1.49577171007,0.0509281530976,0.55642080307,-0.68466603756,0.114719033241,0.00101946608629,0.0477298386395,0.443264305592,4.11229705811,1.00162816048,0.748416721821,0.131354168057,0.307276964188,-0.707328553402,0.801230192923,0.42219378618,0.0499924764993,-0.00672242544972,0.312324871563,1.14914363663,31.3125,32.75,31.9375,36.0,39.0,40.5,7,1,47.8248062134,1.34838950634,47.55626297,47.7282600403,47.7282600403,47.6279296875,47.5275993347,47.5705947876
